Date,Beans,Nuwaraeliya Carrot,Cabbage,Tomato,Brinjal,Pumpkin - Big,Snake Gourd,Lime,Red Onion- Lanka,Red Onion Import,Potatoes - Nuwaraeliya,Potatoes - Import
11/28/2015,,,,,,,,,,,,
11/29/2015,,,,,,,,,,,,
11/30/2015,225,270,140,130,95,30,88,,125,135,128,
12/1/2015,235,260,135,120,95,33,85,,110,135,128,
12/2/2015,175,263,138,135,93,28,75,,100,135,133,
12/3/2015,140,250,143,140,90,28,75,,110,133,133,
12/4/2015,175,230,140,158,100,30,73,,110,133,128,
12/5/2015,,,,,,,,,,,,
12/6/2015,,,,,,,,,,,,
12/7/2015,185,225,125,135,78,28,75,,95,115,113,
12/8/2015,200,215,130,145,85,28,78,,100,135,113,
12/9/2015,175,195,130,145,75,24,73,,95,123,115,
12/10/2015,145,200,115,130,95,24,63,,113,125,117,
12/11/2015,170,190,93,140,70,25,65,,95,,108,
12/12/2015,,,,,,,,,,,,
12/13/2015,,,,,,,,,,,,
12/14/2015,195,135,80,150,85,33,70,,125,175,118,
12/15/2015,195,190,85,145,90,35,65,,115,175,115,
12/16/2015,205,215,88,145,90,34,75,,120,165,123,
12/17/2015,215,210,90,140,88,35,70,,125,145,115,
12/18/2015,215,225,100,125,90,35,65,,135,145,113,
12/19/2015,,,,,,,,,,,,
12/20/2015,,,,,,,,,,,,
12/21/2015,240,198,98,85,110,35,83,,125,175,123,
12/22/2015,255,205,100,95,110,35,83,,140,190,123,
12/23/2015,260,195,100,95,110,35,80,,,,110,
12/24/2015,,,,,,,,,,,,
12/25/2015,,,,,,,,,,,,
12/26/2015,,,,,,,,,,,,
12/27/2015,,,,,,,,,,,,
12/28/2015,275,300,155,90,175,43,90,,135,185,120,
12/29/2015,195,300,158,93,175,40,105,,155,175,115,
12/30/2015,225,290,120,90,170,38,100,,140,175,125,
12/31/2015,195,290,115,90,160,40,100,,140,165,125,
1/1/2016,155,275,125,78,125,40,75,,115,165,125,
1/2/2016,,,,,,,,,,,,
1/3/2016,,,,,,,,,,,,
1/4/2016,175,260,130,50,120,44,78,,85,120,125,
1/5/2016,185,248,105,40,120,44,80,,,115,125,
1/6/2016,150,175,100,35,110,35,80,,,115,125,
1/7/2016,180,170,80,25,130,38,78,,,85,125,
1/8/2016,190,200,65,28,110,38,80,,,83,115,
1/9/2016,,,,,,,,,,,,
1/10/2016,,,,,,,,,,,,
1/11/2016,175,203,80,33,105,43,65,,,93,113,
1/12/2016,180,220,80,38,105,40,70,,,105,105,
1/13/2016,200,210,85,38,100,40,70,,,95,105,
1/14/2016,180,195,93,40,105,45,75,,,90,105,
1/15/2016,,,,,,,,,,,,
1/16/2016,,,,,,,,,,,,
1/17/2016,,,,,,,,,,,,
1/18/2016,185,230,90,33,100,45,63,,,95,105,
1/19/2016,200,285,105,45,100,55,50,,88,93,113,
1/20/2016,185,275,105,38,90,50,50,,,93,118,
1/21/2016,195,295,100,40,100,55,55,,,93,118,
1/22/2016,140,275,110,43,100,55,55,,,93,110,
1/23/2016,,,,,,,,,,,,
1/24/2016,,,,,,,,,,,,
1/25/2016,125,240,120,43,90,55,48,,75,85,105,
1/26/2016,90,230,110,33,85,53,45,,,88,105,
1/27/2016,85,245,95,33,70,53,40,,,88,105,
1/28/2016,95,220,98,33,58,55,45,,,88,103,
1/29/2016,120,210,95,38,80,63,38,,,88,105,
1/30/2016,,,,,,,,,,,,
1/31/2016,,,,,,,,,,,,
2/1/2016,120,200,95,38,90,78,50,,,73,105,
2/2/2016,120,240,90,38,60,73,43,,,68,113,
2/3/2016,123,250,80,35,65,75,45,,,65,113,
2/4/2016,,,,,,,,,,,,
2/5/2016,85,245,90,38,65,83,50,,,58,113,
2/6/2016,,,,,,,,,,,,
2/7/2016,,,,,,,,,,,,
2/8/2016,90,220,80,35,65,88,43,,,58,103,
2/9/2016,95,220,85,35,65,95,45,,53,58,103,
2/10/2016,75,220,78,33,68,85,38,,55,63,103,
2/11/2016,93,210,80,33,48,75,43,,55,58,103,
2/12/2016,80,205,70,38,55,85,40,,55,63,103,
2/13/2016,,,,,,,,,,,,
2/14/2016,,,,,,,,,,,,
2/15/2016,100,155,68,43,60,75,43,,73,83,108,
2/16/2016,85,155,68,38,68,75,38,,63,83,85,
2/17/2016,75,135,55,35,50,70,40,,78,78,98,
2/18/2016,75,155,58,38,48,60,45,,63,63,68,
2/19/2016,58,173,40,43,48,68,45,,58,68,88,
2/20/2016,,,,,,,,,,,,
2/21/2016,,,,,,,,,,,,
2/22/2016,,,,,,,,,,,,
2/23/2016,78,115,50,35,50,45,27,,55,63,93,
2/24/2016,110,105,45,28,25,53,33,,53,58,83,
2/25/2016,145,125,55,33,38,53,35,,53,58,83,
2/26/2016,120,110,35,38,63,48,38,,60,54,83,
2/27/2016,,,,,,,,,,,,
2/28/2016,,,,,,,,,,,,
2/29/2016,90,110,43,35,53,50,35,,58,53,78,
3/1/2016,95,95,53,33,48,38,40,,63,65,83,
3/2/2016,105,98,45,28,50,35,33,,33,,85,
3/3/2016,115,95,45,30,65,28,35,,58,,88,
3/4/2016,90,88,43,28,65,33,38,,55,,95,
3/5/2016,,,,,,,,,,,,
3/6/2016,,,,,,,,,,,,
3/7/2016,,,,,,,,,,,,
3/8/2016,95,95,48,28,55,33,33,,63,65,95,
3/9/2016,73,85,43,38,60,28,40,,50,58,98,
3/10/2016,85,85,45,33,60,29,43,,53,60,98,
3/11/2016,65,93,48,25,75,26,38,,55,60,93,
3/12/2016,,,,,,,,,,,,
3/13/2016,,,,,,,,,,,,
3/14/2016,85,83,48,35,70,28,40,,58,65,93,
3/15/2016,85,83,45,38,80,25,45,,58,65,93,
3/16/2016,80,80,43,30,80,18,43,,50,58,93,
3/17/2016,73,75,43,25,80,19,40,,55,83,83,
3/18/2016,75,75,38,33,80,18,43,,50,53,88,
3/19/2016,,,,,,,,,,,,
3/20/2016,,,,,,,,,,,,
